date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:59	117/117	---MCZ	200	added ('OK')	text/plain	etag:W/%22b9-5ba20d59-f0eb6e7a18f2d3a6;;;%22	https://askbootstrap.com/robots.txt		(from )
15:33:00	37196/37196	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2012:16:47%20GMT	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html	(from )
15:33:00	21856/21856	---M--	200	added ('OK')	image/png	etag:%225560-601159b0-2e1c31d0af30771b;;;%22	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/img/logo.png	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/img/logo.png	(from https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html)
15:33:04	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-601159b0-7ccb0fef88f173b5;gz%22	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/vendor/fontawesome-free/css/all.min.css	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/vendor/fontawesome-free/css/all.min.css	(from https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html)
15:33:04	169421/169421	---MCZ	200	added ('OK')	text/css	etag:W/%2236c07-601159af-c626c39a5d22aeb1;gz%22	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/css/osahan.css	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/css/osahan.css	(from https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html)
15:33:04	970/970	---MCZ	200	added ('OK')	text/css	etag:W/%22525-601159b0-fb7782a0be72cee1;gz%22	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/font/stylesheet.css	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/font/stylesheet.css	(from https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html)
15:33:05	269370/269370	---M-Z	200	added ('OK')	text/css	etag:%2241c3a-601159b4-44c3bce5f2c89f42;gz%22	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/vendor/mdi-icons/css/materialdesignicons.min.css	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/vendor/mdi-icons/css/materialdesignicons.min.css	(from https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html)
15:33:05	9466/9466	---MCZ	200	added ('OK')	text/css	etag:W/%223322-601159af-15054a827d732bc3;gz%22	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/css/custom.css	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/css/custom.css	(from https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html)
15:33:06	36727/36727	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2012:16:52%20GMT	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/explore.html	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/explore.html	(from https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html)
15:33:06	37048/37048	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2012:16:47%20GMT	https://askbootstrap.com/preview/osahan-eat/theme-sidebar/favourities.html	D:/Workspace/Front_End/Osahaneat/Osahaneat/askbootstrap.com/preview/osahan-eat/theme-sidebar/favourities.html	(from https://askbootstrap.com/preview/osahan-eat/theme-sidebar/index.html)
