127.0.0.1 - - [11/Aug/2023:07:28:23 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:28:25 +0700] "GET /ThucHanh/ HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:28:25 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:28:30 +0700] "GET /ThucHanh/role HTTP/1.1" 500 1515
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:13 +0700] "GET /ThucHanh/ HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:13 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:18 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:22 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:25 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:38 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:38 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:38 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:39 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:39 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:39 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:39 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:30:39 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:33:33 +0700] "GET /ThucHanh/ HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:33:33 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:33:38 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:33:45 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [11/Aug/2023:07:33:47 +0700] "GET /ThucHanh/role HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [11/Aug/2023:08:28:27 +0700] "POST /ThucHanh/api/role/add HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Aug/2023:08:36:15 +0700] "POST /ThucHanh/api/role/add HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Aug/2023:08:48:44 +0700] "GET /ThucHanh/ HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [11/Aug/2023:08:48:44 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/Aug/2023:08:48:49 +0700] "GET /ThucHanh/role HTTP/1.1" 200 966
